predictor,coefficient,pvalue,standard error,0.025,0.975,abs
credit_card_days_log2,0.385954955156935,1.61439956228122E-18,0.042766066032651,0.301994062373531,0.46991584794034,0.385954955156935
solvency,-0.346070299553908,4.71108742661695E-36,0.026105090275816,-0.397321370533302,-0.294819228574514,0.346070299553908
age_log2,0.333099274501181,7.75192001207043E-26,0.030475787974154,0.273267388990969,0.392931160011392,0.333099274501181
giro_days,0.24127351780416,2.71860001898545E-12,0.033913964155271,0.174691599651413,0.307855435956907,0.24127351780416
giro,-0.22320302071358,2.63747500801538E-08,0.039672145349129,-0.301089743789834,-0.145316297637326,0.22320302071358
female,0.148670896492719,0.057453398783215,0.078129135002497,-0.004716883486777,0.302058676472214,0.148670896492719
conditions_log2,-0.134136303214579,2.29589845732572E-06,0.028156455507313,-0.189414736826062,-0.078857869603095,0.134136303214579
unsecured_loan_log2,-0.1028824115277,0.00016443626295,0.027159070769342,-0.15620271990539,-0.04956210315001,0.1028824115277
east,-0.093060694356605,0.047000914502538,0.046771131841046,-0.184884571326407,-0.001236817386803,0.093060694356605
credit_card,-0.092502578845119,0.035218957255782,0.043844087983097,-0.178579908649653,-0.006425249040584,0.092502578845119
relocation,-0.089595790070345,0.000538913522239,0.025773589822182,-0.140196039577781,-0.038995540562908,0.089595790070345
business_relation,-0.074679648736382,0.004378684656267,0.02612505141297,-0.125969908611365,-0.023389388861399,0.074679648736382
telecom,-0.062395336518583,0.009922414662839,0.024133939998513,-0.109776527650572,-0.015014145386594,0.062395336518583
const,0.056674238632922,0.374113574965185,0.063725719884837,-0.068435897303153,0.181784374568996,0.056674238632922
secured_loan_log2,0.053100735627277,0.047780909318285,0.026782133463538,0.000520453061044,0.105681018193509,0.053100735627277
global_credit,-0.040960314244663,0.106120545620128,0.025316892721222,-0.090663948751344,0.008743320262019,0.040960314244663
mailOrder,-0.02979791227196,0.643918914216005,0.064438917033068,-0.156308239407533,0.096712414863612,0.02979791227196
finance_year_log2,-0.020779978542015,0.505684377574577,0.03120558841519,-0.082044651826914,0.040484694742885,0.020779978542015
credit_days_**3,-0.019288466676796,0.563508026811586,0.03337647803453,-0.084815160004289,0.046238226650696,0.019288466676796
monthlyIncome,0.00965853316556,0.7289399984256,0.027860842344946,-0.045039535045658,0.064356601376777,0.00965853316556
identity_**3,0.004734589169032,0.820114309719779,0.020813128480779,-0.03612698663099,0.045596164969053,0.004734589169032
banking_connection_**3,-0.004468645523034,0.842583060730054,0.022493696812951,-0.048629613356097,0.039692322310029,0.004468645523034
