predictor,coefficient,pvalue,standard error,0.025,0.975,abs
female,0.479578008492242,3.96367355989636E-08,0.084470333257405,0.313173012181996,0.645983004802488,0.479578008492242
solvency_log2,-0.467763247443926,6.8958442661688E-17,0.051917679404903,-0.570040116927592,-0.365486377960259,0.467763247443926
age_log2,0.333937040277192,7.17411150811756E-09,0.055627229288165,0.224352426040633,0.443521654513751,0.333937040277192
credit_card_days,0.236780552883211,0.000183300317061,0.062298405369503,0.114053844986182,0.35950726078024,0.236780552883211
const,-0.17256571676248,0.152071014007517,0.12009917568208,-0.409158874567833,0.064027441042874,0.17256571676248
giro,0.125417321440868,0.048209298866855,0.063158852580676,0.000995548430693,0.249839094451043,0.125417321440868
secured_loan_log2,0.115841767015419,0.030767151960943,0.053309565087389,0.010822908446041,0.220860625584798,0.115841767015419
finance_year_log2,-0.113300893788224,0.034381684073252,0.053247830464653,-0.218198136291081,-0.008403651285366,0.113300893788224
credit_card,0.0796068683709,0.241454837587762,0.067791822300645,-0.053941769414481,0.213155506156281,0.0796068683709
monthlyIncome,-0.077505712081327,0.137261496155129,0.051979158016691,-0.179903693294677,0.024892269132023,0.077505712081327
relocation_**2,-0.0753577184184,0.116307835267429,0.047809724927143,-0.169541993456733,0.018826556619934,0.0753577184184
credit_days_**2,-0.070036249334172,0.160876589315464,0.049794287932022,-0.168130076836303,0.028057578167959,0.070036249334172
telecom_log2,0.066167866865895,0.138747198051798,0.04454389628717,-0.021582786073084,0.153918519804874,0.066167866865895
banking_connection,0.055063749760486,0.284934289794064,0.051379170990856,-0.046152268094011,0.156279767614982,0.055063749760486
unsecured_loan_**3,0.047852580343836,0.442926851171977,0.062264060988316,-0.074806469756613,0.170511630444284,0.047852580343836
conditions_log2,-0.034502563423316,0.502979742438231,0.051432700250307,-0.135824032930221,0.066818906083589,0.034502563423316
business_relation,-0.02772224547486,0.538707874370501,0.045028569229077,-0.116427695157259,0.060983204207539,0.02772224547486
giro_days,0.025562051094789,0.665632142640156,0.059077116455707,-0.090818777140786,0.141942879330363,0.025562051094789
identity_log2,0.021141837690935,0.678217383342506,0.050894129325909,-0.079118657042565,0.121402332424434,0.021141837690935
east,0.013291878884903,0.889788311686716,0.095817688786877,-0.175467198227402,0.202050955997207,0.013291878884903
mailOrder,-0.006954711580962,0.95324375702827,0.118487634391675,-0.240373162810146,0.226463739648221,0.006954711580962
global_credit_log2,0.001410649100861,0.975336397213711,0.045580253266022,-0.088381607944456,0.091202906146178,0.001410649100861
