;Feature;Lengthscale;Weight;Relevance Ratio
4;age;5.855890862814051;0.029161781511720133;9.015042535970935
5;relocation;9.102849666824971;0.012068276701669678;5.799404268606963
21;credit_card_days;9.485845785432232;0.011113423905385148;5.565250206296362
8;business_relation;9.787901390844718;0.010438085004194847;5.393506034260958
10;credit_card;13.086767155125987;0.005838956628062379;4.03393019746625
22;giro_days;14.993172076248138;0.004448493385859125;3.5210097600295507
16;telecom;19.959005820777453;0.0025102801409425703;2.6449766931435197
14;secured_loan;20.09008091761335;0.002477631010222875;2.6277198897685503
6;request;23.03616296733115;0.0018844287240780985;2.2916622568236806
15;solvency;23.107451769926314;0.001872819357149147;2.284592249283771
1;east;23.524995368129694;0.0018069282458377793;2.2440431714511853
11;giro;30.047929710781933;0.00110756925243575;1.7568965889629815
18;Versandhandel_req;43.247805183419956;0.0005346528127954477;1.2206655341323749
12;global_credit;51.43696857901567;0.0003779629836530882;1.0263261360975493
23;noise_feat;52.79110521427221;0.0003588215280859459;1.0
20;credit_days;52.90451030723459;0.00035728485096650915;0.9978564191917892
19;finance_year;58.88742595372522;0.00028837317408970275;0.8964750005503109
0;female;300.3398550370621;1.1085979377710893e-05;0.17577122825659539
2;mailOrder;301.191499663532;1.1023374910348627e-05;0.17527422013319224
9;conditions;301.9035691509746;1.097143678891518e-05;0.1748608185147777
3;monthlyIncome;301.927818799655;1.0969674494837571e-05;0.1748467743851781
13;identity;301.9325898087033;1.0969327821410854e-05;0.17484401153157825
7;banking_connection;302.0813950657177;1.0958523504173355e-05;0.17475788339360496
17;unsecured_loan;302.14713400481605;1.095375547391033e-05;0.17471986086563623
