;Feature;Lengthscale;Weight;Relevance Ratio
15;solvency;4.380863208899649;0.05210514570044696;68.28421875428202
21;credit_card_days;4.4384395480683665;0.050762076789990465;67.39842200155202
0;female;6.240850635795937;0.025675116495648923;47.93318077078731
4;age;6.906607017691298;0.02096382418698508;43.312703462471745
1;east;9.147210723361768;0.011951505949386022;32.70328308115643
19;finance_year;10.599313025288966;0.008901118106725609;28.222944352653844
14;secured_loan;14.346624692361443;0.004858481186754029;20.851163817532804
10;credit_card;19.378541839955325;0.0026629181028228165;15.43685918990586
17;unsecured_loan;19.849540932164224;0.0025380435261712878;15.070566251955807
11;giro;24.20192808257466;0.0017072615828391694;12.36033016330102
16;telecom;33.07268340512744;0.0009142419246128569;9.045042339767074
5;relocation;45.985961823329404;0.00047287837193834295;6.505111773857238
2;mailOrder;229.48308292998854;1.898884933618166e-05;1.3035550066248385
20;credit_days;256.03985399208983;1.5254039205630114e-05;1.1683486653539936
22;giro_days;286.54302453776336;1.2179243646815295e-05;1.0439752360807009
3;monthlyIncome;293.87921770833833;1.1578765269673106e-05;1.0179141758366055
6;request;294.71030474822516;1.1513552800630547e-05;1.0150436441123156
18;Versandhandel_req;299.02819770246384;1.1183447761026139e-05;1.0003866658312297
23;noise_feat;299.1438216890896;1.1174804260319667e-05;1.0
9;conditions;300.13149095383443;1.1101377440372338e-05;0.9967092114805881
8;business_relation;300.73348644365274;1.1056977394489491e-05;0.9947140414146697
13;identity;300.7975337466148;1.1052269282832324e-05;0.9945022419667898
12;global_credit;300.9955028566765;1.1037735588135574e-05;0.9938481434107385
7;banking_connection;301.451066822559;1.1004399530617488e-05;0.9923462034558744
