;Feature;Lengthscale;Weight;Relevance Ratio
17;unsecured_loan;2.9914415117941604;0.11174779643506257;99.69939981320498
5;relocation;3.168620874976191;0.09960002374128374;94.12452138327384
6;request;3.420612885397189;0.08546575731068153;87.19049284279158
4;age;4.576513733721583;0.047745281699133016;65.16858479077565
3;monthlyIncome;6.615246957990993;0.022851140285553174;45.084473065954796
18;Banken_req;6.98722147182208;0.020482878159898694;42.68433804552213
21;credit_card_days;7.826023775632328;0.016327424119063967;38.10938119442228
15;solvency;10.261824056704677;0.009496222277216727;29.063538962873043
11;giro;10.60737599917225;0.008887591254127886;28.11674850834532
22;giro_days;11.26860998042973;0.00787515852090122;26.466877797718464
19;finance_year;14.919208834594198;0.004492710284970156;19.99066616794205
14;secured_loan;21.964782460206507;0.0020727464847597452;13.578323566031816
20;credit_days;22.392829478392414;0.0019942612657265885;13.318769009962352
9;conditions;23.423445307046393;0.0018226297304643577;12.732752137554433
16;telecom;57.042253885018084;0.0003073311955911356;5.228491214659334
8;business_relation;165.84190031840188;3.635896139287631e-05;1.798368944938404
12;global_credit;283.248274131473;1.2464230028262827e-05;1.0529452446504597
10;credit_card;295.86121491811025;1.142415080539404e-05;1.0080568464667932
23;noise_feat;298.2449233021843;1.1242266606693658e-05;1.0
1;east;299.10235586194386;1.1177902896036907e-05;0.9971333139209532
13;identity;300.3516653050396;1.1085107560915983e-05;0.9929857488863407
2;mailOrder;300.57486725403527;1.1068650436750004e-05;0.9922483740136471
0;female;300.60040583893533;1.1066769762902129e-05;0.992164073996583
7;banking_connection;301.9326204940181;1.096932559179247e-05;0.9877863571488233
