;Feature;Lengthscale;Weight;Relevance Ratio
4;age;4.421338891114207;0.05115550675051717;68.30308767681461
15;solvency;5.358772008269799;0.03482326114467506;56.35453373695378
21;credit_card_days;8.780736431796955;0.01296994449210857;34.3924567460092
9;conditions;9.045489919886847;0.012221817995117986;33.385819961475526
1;east;12.540578959546414;0.006358648613741687;24.081112913753927
22;giro_days;14.51308507551028;0.004747669926955896;20.808194560801606
8;business_relation;15.477177426941143;0.004174615463172257;19.512026618174424
18;Banken_req;20.216235824251715;0.0024468052853479564;14.938047842042417
5;relocation;20.219026697116824;0.0024461298570705985;14.93598591329557
14;secured_loan;20.32203586412623;0.0024213946196069563;14.860277776685658
12;global_credit;22.90851592480091;0.0019054874349750941;13.182481960856592
19;finance_year;33.24838775406213;0.0009046046553253744;9.082879451554403
20;credit_days;38.76721986118231;0.0006653814443624773;7.789856972206258
3;monthlyIncome;57.908502486100474;0.00029820528191140986;5.2149699088
16;telecom;61.37000829951378;0.00026551412869442307;4.920825437318322
10;credit_card;143.7135328369216;4.841775727103091e-05;2.101340715570379
6;request;291.0867754362876;1.180198476527062e-05;1.0374607279085513
11;giro;298.31536896592473;1.123695762495347e-05;1.0123216211605213
2;mailOrder;301.4964126041962;1.1001089603522674e-05;1.0016407668675553
17;unsecured_loan;301.5294264012932;1.0998680764942402e-05;1.0015310994117579
13;identity;301.8038511707165;1.0978688056607482e-05;1.0006204253432855
7;banking_connection;301.95799114743187;1.0967482373367887e-05;1.000109640354694
23;noise_feat;301.9910979286839;1.0965077811515604e-05;1.0
0;female;302.000139904003;1.0964421225868029e-05;0.9999700596982442
