predictor,coefficient,pvalue,standard error,0.025,0.975,abs
solvency_log2,-0.357837878515308,2.54109515599201E-26,0.032293175375363,-0.421245712062701,-0.294430044967916,0.357837878515308
age_log2,0.315054121470125,4.04306479255696E-18,0.035279246617808,0.245783120052096,0.384325122888154,0.315054121470125
female,0.305332520049293,0.000941473162106,0.091905929506097,0.124874704662486,0.4857903354361,0.305332520049293
credit_card_days,0.236222755523045,1.31272447184521E-08,0.041041440405908,0.155637653824176,0.316807857221914,0.236222755523045
finance_year_log2,-0.157705021017234,1.94616645687682E-05,0.036660311120365,-0.229687750442138,-0.085722291592331,0.157705021017234
credit_card,0.144839358804815,0.000573526376741,0.041856164102048,0.062654542494065,0.227024175115564,0.144839358804815
credit_days_**2,-0.12303422809926,0.000686272041015,0.03607071923961,-0.193859290512443,-0.052209165686077,0.12303422809926
east,0.1128389925192,0.035730580625569,0.053625059727542,0.007545882701108,0.218132102337292,0.1128389925192
conditions_log2,-0.110822125232908,0.000260226029485,0.030183757807838,-0.170088105387165,-0.051556145078652,0.110822125232908
mailOrder,-0.091921639157747,0.226720861547139,0.075970896546859,-0.241090926683572,0.05724764836808,0.091921639157747
monthlyIncome,0.076140408503012,0.021778368636141,0.033110614598916,0.011127528390216,0.141153288615807,0.076140408503012
identity_log2,0.068729132516109,0.025822059937826,0.030767203178103,0.008317554058441,0.129140710973777,0.068729132516109
relocation_**2,-0.06359465146164,0.025211657898313,0.028350399211775,-0.119260821583573,-0.007928481339706,0.06359465146164
banking_connection,-0.062372822259588,0.01945426072706,0.026628339458605,-0.114657718260334,-0.010087926258842,0.062372822259588
global_credit_log2,0.060803645185312,0.060123046306584,0.032289616854929,-0.002597201186967,0.12420449155759,0.060803645185312
secured_loan_log2,0.060709151932793,0.081885573691766,0.03484099571331,-0.007701341341289,0.129119645206874,0.060709151932793
giro_days,0.044916425542399,0.259630314543293,0.039811766904274,-0.033254205241085,0.123087056325883,0.044916425542399
giro,0.043845605996216,0.322910127349457,0.04432323272214,-0.043183313583862,0.130874525576293,0.043845605996216
const,0.016136802377627,0.829788698883688,0.075035214120496,-0.131195267381459,0.163468872136712,0.016136802377627
unsecured_loan_**3,0.014328434603952,0.594049419288572,0.026870910226287,-0.038432750478988,0.067089619686891,0.014328434603952
telecom_log2,-0.014137199849474,0.625639297456204,0.028963806291595,-0.071007798261963,0.042733398563016,0.014137199849474
business_relation,-0.005364294860564,0.851004824495404,0.028547306652466,-0.061417093862391,0.050688504141262,0.005364294860564
