predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.13104567064858835;0.2323756179669725;0.1094734400286989;-0.3466131059800822;0.08452176468290551
age_log2;0.26363391536494696;9.372753616017477e-06;0.05831790992707695;0.1487983691943197;0.3784694615355742
credit_card_days_log2;0.533348320632463;8.854827543679427e-11;0.07885578798157251;0.37807102257938874;0.6886256186855372
credit_card;-0.3893819430300475;2.4805303941085847e-06;0.08083867578262327;-0.5485638049454664;-0.23020008111462856
solvency;-0.18124447738310506;0.0003838656795239977;0.05037433057075302;-0.28043808310912727;-0.08205087165708284
secured_loan_log2;0.20008090391828848;2.3028089443484107e-05;0.04640553001783684;0.10870238243836351;0.29145942539821346
telecom;-0.2761030632346333;6.721432393725384e-08;0.04966839410477813;-0.37390658828503875;-0.17829953818422783
giro_days;0.11187779528666075;0.03638179590001774;0.05318617384715;0.0071473046003404095;0.2166082859729811
relocation;-0.053122155113745406;0.28145415756368913;0.049219074300429544;-0.1500409110563044;0.04379660082881359
finance_year_log2;-0.11206178343769178;0.02771409994791703;0.05062078015401946;-0.2117406804324394;-0.012382886442944163
global_credit_log2;-0.08889990937348038;0.0910883263390392;0.05241829162688981;-0.19211834014084003;0.014318521393879263
giro_**2;0.011326106479267198;0.8364452715473375;0.05480827127270809;-0.09659850491609187;0.11925071787462627
unsecured_loan;-0.013352682460549055;0.808184349320098;0.05494561581483538;-0.12154774311460864;0.09484237819351055
business_relation_log2;-0.15285305697319274;0.0009654771998787047;0.04578448437772762;-0.243008658849723;-0.06269745509666247
identity_**2;0.012582799506762034;0.7446308077372168;0.038588807821630725;-0.06340357976868688;0.08856917878221096
credit_days_**3;0.03204793077078727;0.46092827793911284;0.04340097207371928;-0.053414225514543515;0.11751008705611805
monthlyIncome;0.13363380332569186;0.015660314604920886;0.05493154569945302;0.0254664485579824;0.2418011580934013
conditions_log2;-0.009350323007348789;0.8561343031414199;0.05152336009297216;-0.11080651724031862;0.09210587122562103
banking_connection;-0.00967576796401708;0.8159829066576278;0.04153567504043211;-0.09146491189592452;0.07211337596789037
east;-0.036622194807928755;0.7132656256917085;0.09955060554224228;-0.23265027903377;0.1594058894179125
mailOrder;0.16486600570687665;0.15912416192953557;0.11675458245928774;-0.06503894564342402;0.39477095705717735
