predictor,coefficient,pvalue,standard error,0.025,0.975,abs
credit_card_days_log2,0.445026556294634,4.13941584253526E-09,0.073804333333594,0.29987505665592,0.590178055933348,0.445026556294634
age_log2,0.307171385996986,9.79927262824327E-12,0.043604191376503,0.22141471720865,0.392928054785322,0.307171385996986
credit_card,-0.236258946181941,0.00167636841252,0.074608442762432,-0.382991893470103,-0.089525998893778,0.236258946181941
telecom,-0.186530246071179,8.14798455173217E-05,0.046789356002276,-0.278551200452847,-0.094509291689511,0.186530246071179
secured_loan_log2,0.181558251876611,0.000107404948461,0.046344669488398,0.090411865578457,0.272704638174765,0.181558251876611
giro_days,0.164512407102485,0.002260761431583,0.053480338557266,0.05933225043491,0.26969256377006,0.164512407102485
solvency,-0.163509907739323,0.000724874260249,0.047950495880612,-0.257814484057781,-0.069205331420865,0.163509907739323
finance_year_log2,-0.162328231712143,0.010136828275131,0.062794871924852,-0.285827346436407,-0.038829116987879,0.162328231712143
mailOrder,0.140662531560502,0.2531650879818,0.122896119447429,-0.101038127897298,0.382363191018303,0.140662531560502
const,-0.108549573224065,0.362625086041672,0.119081758791864,-0.342748502846902,0.125649356398773,0.108549573224065
global_credit_log2,-0.062880814438386,0.15810004816501,0.044454818916606,-0.150310418371624,0.024548789494853,0.062880814438386
credit_days_**3,-0.060157998708487,0.211819125418274,0.04809385304223,-0.154744516561445,0.034428519144471,0.060157998708487
identity_**2,-0.059995126058076,0.186125396256981,0.045289367648947,-0.149066042832301,0.02907579071615,0.059995126058076
east,-0.057758987538119,0.61901884021455,0.116056264747146,-0.286007656818465,0.170489681742226,0.057758987538119
unsecured_loan,-0.046445062061247,0.345647332289779,0.049183125762841,-0.143173860208202,0.050283736085709,0.046445062061247
female,0.04403896735321,0.76922768667054,0.14999084383027,-0.250949076446789,0.339027011153209,0.04403896735321
business_relation_log2,-0.034961692361777,0.434470959421757,0.044681968821864,-0.122838033605708,0.052914648882155,0.034961692361777
monthlyIncome,0.023293030248112,0.615779550208354,0.046374041031078,-0.067911121268887,0.114497181765111,0.023293030248112
giro_**2,-0.016241450687519,0.781491740090404,0.058509360048706,-0.13131221916915,0.098829317794113,0.016241450687519
conditions_log2,-0.014855546090428,0.792675828418847,0.056477106901385,-0.125929468063794,0.09621837588294,0.014855546090428
banking_connection,-0.006275442365494,0.896186402210222,0.048060294398813,-0.100795960199242,0.088245075468255,0.006275442365494
relocation,-0.0005445214457,0.990363984114762,0.045054623724852,-0.089153765699161,0.08806472280776,0.0005445214457
