;weight
female;0.10096163404103606
east;-0.020540337420762497
mailOrder;0.0
monthlyIncome;-0.004282959304512052
age;-0.0
relocation;-0.08024661976955459
request;-0.04592723188438768
banking_connection;-0.0
business_relation;-0.03512016966887796
conditions;-0.0444919271217982
credit_card;-0.048314627500047745
giro;-0.22270646849653422
global_credit;-0.015186634696028978
identity;0.0
secured_loan;0.0
solvency;-0.2112475090396498
telecom;-0.08128109464238059
unsecured_loan;-0.030627206397236265
Banken_req;-0.11978523153877892
finance_year;-0.0
credit_days;0.0
credit_card_days;0.0
giro_days;0.34436282457666734
age_**2;-0.4370477577700159
relocation_**2;-0.0
request_**2;-0.0
banking_connection_**2;-0.009337019554892679
business_relation_**2;-0.0
conditions_**2;-0.0
credit_card_**2;-0.0
giro_**2;-0.0
global_credit_**2;-0.008038938261828403
identity_**2;-0.0
secured_loan_**2;0.0
solvency_**2;-0.07821769444116675
telecom_**2;-0.0139971558276921
unsecured_loan_**2;-0.0
Banken_req_**2;-0.0
finance_year_**2;0.021343245286726476
credit_days_**2;-0.0
credit_card_days_**2;-0.0
giro_days_**2;-0.0
age_**3;-0.0
relocation_**3;0.0
request_**3;0.015107657979589318
banking_connection_**3;-0.012213214834286279
business_relation_**3;-0.0
conditions_**3;0.03832867852108194
credit_card_**3;0.0019991757761659633
giro_**3;-0.0
global_credit_**3;-0.0
identity_**3;-0.027995077411207485
secured_loan_**3;0.007086102838833864
solvency_**3;-0.0
telecom_**3;0.0
unsecured_loan_**3;-0.0
Banken_req_**3;0.0
finance_year_**3;0.016663225304292727
credit_days_**3;-0.011456459868349707
credit_card_days_**3;-0.02939392229373439
giro_days_**3;-0.12345980821918451
age_log2;0.7619027049181568
relocation_log2;-0.05128835009642309
request_log2;0.0
banking_connection_log2;-0.0
business_relation_log2;-0.0
conditions_log2;-0.06723672275003181
credit_card_log2;-0.0
giro_log2;-0.07421289083377149
global_credit_log2;-0.0
identity_log2;0.008794622422455886
secured_loan_log2;0.03652129468684255
solvency_log2;-0.0
telecom_log2;-0.0
unsecured_loan_log2;-0.10205641923859275
Banken_req_log2;-0.0
finance_year_log2;-0.042573364171971224
credit_days_log2;0.0
credit_card_days_log2;0.3458359833060062
giro_days_log2;-0.0
