;weight
female;0.008288148777487417
east;-0.0
mailOrder;-0.0
monthlyIncome;0.0
age;0.0
relocation;-0.08649562803193549
request;-0.09513874796382311
banking_connection;-0.0
business_relation;-0.0
conditions;-0.0
credit_card;-0.0
giro;-0.0
global_credit;-0.0
identity;0.0
secured_loan;0.0
solvency;-0.3156175464080562
telecom;-0.0
unsecured_loan;-0.0
Banken_req;-0.10360086020543727
finance_year;-0.0
credit_days;-0.0
credit_card_days;0.0
giro_days;0.15657335672127326
age_**2;-0.0
relocation_**2;-0.0
request_**2;-0.0
banking_connection_**2;-0.0
business_relation_**2;-0.0
conditions_**2;0.0
credit_card_**2;-0.0
giro_**2;-0.0
global_credit_**2;-0.0
identity_**2;-0.0
secured_loan_**2;0.0
solvency_**2;-0.0304155360932211
telecom_**2;-0.0
unsecured_loan_**2;-0.0
Banken_req_**2;-0.015117826669964076
finance_year_**2;0.0
credit_days_**2;-0.0
credit_card_days_**2;-0.0
giro_days_**2;0.0
age_**3;-0.16984959880489994
relocation_**3;-0.0
request_**3;-0.0
banking_connection_**3;-0.0
business_relation_**3;-0.0
conditions_**3;0.0
credit_card_**3;-0.0
giro_**3;-0.0
global_credit_**3;-0.0
identity_**3;-0.0
secured_loan_**3;0.0
solvency_**3;-0.0
telecom_**3;-0.0
unsecured_loan_**3;-0.0
Banken_req_**3;-0.0
finance_year_**3;0.010026964837873815
credit_days_**3;-0.0
credit_card_days_**3;-0.016011129234249237
giro_days_**3;-0.0
age_log2;0.549860357606563
relocation_log2;-0.027101189006420928
request_log2;-0.0
banking_connection_log2;-0.0
business_relation_log2;-0.017560519754006756
conditions_log2;-0.09028607432223373
credit_card_log2;0.0
giro_log2;-0.0
global_credit_log2;-0.0
identity_log2;0.0
secured_loan_log2;0.0
solvency_log2;-0.0
telecom_log2;-0.0
unsecured_loan_log2;-0.019725335723607754
Banken_req_log2;-0.0
finance_year_log2;-0.04988343163026617
credit_days_log2;-0.0
credit_card_days_log2;0.29442866078343044
