feature
age_log2
solvency
credit_card_days_log2
age*giro
age_**3
giro_days
Banken_req
request
conditions_log2
relocation
age*telecom
giro*unsecured_loan
solvency*giro_days
request*unsecured_loan
request*credit_card_days
finance_year_log2
age*unsecured_loan
giro*identity
relocation*giro_days
