;weight
female;0.19617514373345352
east;-0.009009096070772514
mailOrder;-0.12594118921254274
monthlyIncome;-0.005227487533614926
age;-2.3743081539471405
relocation;-0.39722995082235474
request;0.25986245017915255
banking_connection;-0.0
business_relation;-0.001647103272916337
conditions;-0.0
credit_card;0.0
giro;-0.057742034655258005
global_credit;-0.0
identity;-0.0
secured_loan;-0.0
solvency;-0.16443564285467377
telecom;-0.0
unsecured_loan;0.0
Banken_req;0.0
finance_year;0.0
credit_days;0.004001302724543828
credit_card_days;0.7249111180852302
giro_days;0.11837268662019654
age_**2;-0.0
relocation_**2;-0.0
request_**2;-0.5872975488710708
banking_connection_**2;-0.011882459255644556
business_relation_**2;-0.007695814846992316
conditions_**2;-0.10426658943213205
credit_card_**2;-0.10633116135520349
giro_**2;-0.04879240164369528
global_credit_**2;-0.013776648643924118
identity_**2;-0.05417892823236872
secured_loan_**2;-0.11876164723400691
solvency_**2;0.0
telecom_**2;0.009557138636585942
unsecured_loan_**2;0.012464413815269804
Banken_req_**2;0.22100271777774258
finance_year_**2;0.14573414158672623
credit_days_**2;-0.0
credit_card_days_**2;-0.4025923227277377
giro_days_**2;0.0
age_**3;0.5943614553134312
relocation_**3;0.0619543182523277
request_**3;0.38694423429921243
banking_connection_**3;-0.008448628223695846
business_relation_**3;-0.0
conditions_**3;0.0918488746919386
credit_card_**3;0.08888219982847263
giro_**3;0.0
global_credit_**3;-0.0
identity_**3;0.004347405130847381
secured_loan_**3;0.057955124962167
solvency_**3;0.01728499444706789
telecom_**3;-0.030288218278357648
unsecured_loan_**3;-0.05541781917645972
Banken_req_**3;-0.2009552725146696
finance_year_**3;-0.06410430177877206
credit_days_**3;-0.03494632333925691
credit_card_days_**3;-0.0
giro_days_**3;-0.04618384109929156
age_log2;2.1173789888017587
relocation_log2;0.2510133892488906
request_log2;-0.1741497968456586
banking_connection_log2;-0.0
business_relation_log2;-0.0
conditions_log2;-0.0142898924735567
credit_card_log2;0.03159058133499309
giro_log2;-0.0
global_credit_log2;-0.0
identity_log2;0.04637525210688502
secured_loan_log2;0.09624671954447532
solvency_log2;-0.23863567725494517
telecom_log2;-0.0449013780408342
unsecured_loan_log2;-0.0
Banken_req_log2;-0.0277473800451409
finance_year_log2;-0.09846927868518364
credit_days_log2;-0.04791262687601334
credit_card_days_log2;-0.0
giro_days_log2;0.0
