;weight
female;0.24161101725366768
east;-0.0
mailOrder;0.0
monthlyIncome;-0.0
age;-0.0
relocation;-0.06490610831211113
request;-0.13906400186373702
banking_connection;-0.0
business_relation;-0.0
conditions;-0.0
credit_card;-0.0
giro;-0.05316533908714776
global_credit;-0.0
identity;0.0
secured_loan;0.0
solvency;-0.26804469915151025
telecom;-0.050046433290043844
unsecured_loan;-0.040226728323053206
Versandhandel_req;-0.0
finance_year;-0.0
credit_days;0.0
credit_card_days;0.0
giro_days;0.06269099290910411
age_**2;-0.0
relocation_**2;-0.01465689365435443
request_**2;-0.056719606796343344
banking_connection_**2;-0.0
business_relation_**2;-0.0
conditions_**2;-0.0
credit_card_**2;-0.05782925843344527
giro_**2;-0.0
global_credit_**2;-0.0
identity_**2;-0.0
secured_loan_**2;-0.0
solvency_**2;-0.052503684021513626
telecom_**2;-0.0
unsecured_loan_**2;-0.0065661087974665374
Versandhandel_req_**2;0.0
finance_year_**2;0.0
credit_days_**2;-0.0
credit_card_days_**2;-0.0
giro_days_**2;0.0
age_**3;-0.17762320287493513
relocation_**3;-0.0
request_**3;-0.0
banking_connection_**3;-0.009626468279748727
business_relation_**3;-0.0
conditions_**3;-0.0
credit_card_**3;-0.0
giro_**3;0.0
global_credit_**3;-0.0
identity_**3;-0.0003138375113116483
secured_loan_**3;-0.0
solvency_**3;-0.0
telecom_**3;0.0
unsecured_loan_**3;-0.0
Versandhandel_req_**3;0.06617291076645775
finance_year_**3;0.0054557684660271446
credit_days_**3;-0.0
credit_card_days_**3;-0.029359466167883302
giro_days_**3;0.0
age_log2;0.537568034215943
relocation_log2;-0.0
request_log2;-0.0
banking_connection_log2;-0.0
business_relation_log2;-0.007098655304790023
conditions_log2;-0.053757681654909274
credit_card_log2;-0.0
giro_log2;-0.0
global_credit_log2;-0.0
identity_log2;0.0
secured_loan_log2;0.08236913231885681
solvency_log2;-0.0
telecom_log2;-0.0
unsecured_loan_log2;-0.0
Versandhandel_req_log2;-0.056436420751193477
finance_year_log2;-0.06921115780268837
credit_days_log2;0.0
credit_card_days_log2;0.3641020185822004
giro_days_log2;0.10507305373149436
age*relocation;-0.0
age*request;-0.0
age*banking_connection;-0.0
age*business_relation;-0.023442808774892594
age*conditions;-0.038585236759624816
age*credit_card;-0.04393022327394087
age*giro;-0.13973896439624767
age*global_credit;-0.0
age*identity;0.0
age*secured_loan;0.0
age*solvency;-0.0
age*telecom;-0.04483530969891004
age*unsecured_loan;-0.0
age*Versandhandel_req;-0.0
age*finance_year;-0.0
age*credit_days;0.0
age*credit_card_days;-0.0
age*giro_days;0.0
relocation*request;-0.00383718655127561
relocation*banking_connection;-0.0
relocation*business_relation;-0.0
relocation*conditions;-0.0
relocation*credit_card;0.0
relocation*giro;-0.0
relocation*global_credit;-0.0
relocation*identity;-0.0
relocation*secured_loan;0.0
relocation*solvency;-0.0
relocation*telecom;-0.01669253873917634
relocation*unsecured_loan;-0.01111118061918383
relocation*Versandhandel_req;-0.026214696223745632
relocation*finance_year;-0.0
relocation*credit_days;-0.0
relocation*credit_card_days;0.0
relocation*giro_days;0.0
request*banking_connection;0.006560718158138921
request*business_relation;-0.0
request*conditions;0.0
request*credit_card;0.0
request*giro;0.0
request*global_credit;0.0
request*identity;0.012925996273705187
request*secured_loan;0.004783241085741115
request*solvency;0.0
request*telecom;-0.0
request*unsecured_loan;0.014267954229610346
request*Versandhandel_req;0.0
request*finance_year;0.05416636409659121
request*credit_days;0.024074527256875308
request*credit_card_days;0.04909647414643443
request*giro_days;0.0
banking_connection*business_relation;-0.0018209506583355206
banking_connection*conditions;0.006934410173709418
banking_connection*credit_card;0.0
banking_connection*giro;-0.010276837357569879
banking_connection*global_credit;-0.0
banking_connection*identity;-0.0
banking_connection*secured_loan;0.0
banking_connection*solvency;0.0
banking_connection*telecom;-0.006312603914237952
banking_connection*unsecured_loan;0.0
banking_connection*Versandhandel_req;0.0
banking_connection*finance_year;-0.0
banking_connection*credit_days;0.00804389683442628
banking_connection*credit_card_days;0.002089174602848716
banking_connection*giro_days;-0.0007514621854456084
business_relation*conditions;-0.0
business_relation*credit_card;-0.0
business_relation*giro;-0.0
business_relation*global_credit;-0.0
business_relation*identity;-0.0
business_relation*secured_loan;-0.0
business_relation*solvency;-0.0
business_relation*telecom;0.0
business_relation*unsecured_loan;-0.0
business_relation*Versandhandel_req;-0.0
business_relation*finance_year;0.0
business_relation*credit_days;0.007078444764997654
business_relation*credit_card_days;-0.0
business_relation*giro_days;-0.0
conditions*credit_card;-0.022918689547414703
conditions*giro;-0.0
conditions*global_credit;0.0
conditions*identity;-0.0
conditions*secured_loan;-0.0
conditions*solvency;-0.0
conditions*telecom;-0.0
conditions*unsecured_loan;-0.0
conditions*Versandhandel_req;0.013415165203243198
conditions*finance_year;-0.0
conditions*credit_days;0.0
conditions*credit_card_days;0.0
conditions*giro_days;0.0
credit_card*giro;-0.0
credit_card*global_credit;0.0
credit_card*identity;-0.0
credit_card*secured_loan;-0.0
credit_card*solvency;0.0
credit_card*telecom;-0.0
credit_card*unsecured_loan;-0.0
credit_card*Versandhandel_req;0.0
credit_card*finance_year;0.0
credit_card*credit_days;-0.025611576461877023
credit_card*credit_card_days;-0.0
credit_card*giro_days;-0.013612245574621741
giro*global_credit;0.0
giro*identity;-0.0404746387473685
giro*secured_loan;-0.0
giro*solvency;-0.006681559118775687
giro*telecom;-0.029505836826856337
giro*unsecured_loan;-0.02807928272561588
giro*Versandhandel_req;-0.0
giro*finance_year;-0.0
giro*credit_days;-0.0
giro*credit_card_days;-0.020612669803923313
giro*giro_days;-0.0
global_credit*identity;-0.0034472455353064756
global_credit*secured_loan;-0.02356267157466171
global_credit*solvency;-0.0
global_credit*telecom;0.0
global_credit*unsecured_loan;-0.006888126939933122
