;weight
female;0.0
east;-0.0
mailOrder;0.0
monthlyIncome;0.020986511874569774
age;0.0
relocation;-0.09712643771262165
request;-0.11036762694030605
banking_connection;-0.0
business_relation;-0.0
conditions;-0.0
credit_card;-0.0
giro;-0.0
global_credit;-0.0
identity;0.0
secured_loan;0.0
solvency;-0.23501815717478214
telecom;-0.0885381230973529
unsecured_loan;-0.0
Versandhandel_req;0.0
finance_year;-0.0
credit_days;-0.0
credit_card_days;0.14131994481592347
giro_days;0.11486239503903416
age_**2;-0.0
relocation_**2;-0.0
request_**2;-0.05028581491223419
banking_connection_**2;-0.0
business_relation_**2;0.0
conditions_**2;-0.0
credit_card_**2;-0.0
giro_**2;-0.0
global_credit_**2;-0.0
identity_**2;0.0
secured_loan_**2;-0.0
solvency_**2;-0.0
telecom_**2;-0.0
unsecured_loan_**2;-0.0
Versandhandel_req_**2;0.0
finance_year_**2;0.0
credit_days_**2;-0.0
credit_card_days_**2;0.0
giro_days_**2;0.0
age_**3;-0.07073499140699323
relocation_**3;-0.0
request_**3;-0.0
banking_connection_**3;0.0
business_relation_**3;0.0012194555859889875
conditions_**3;-0.0
credit_card_**3;0.0
giro_**3;-0.0
global_credit_**3;-0.0
identity_**3;0.0
secured_loan_**3;-0.0
solvency_**3;-0.0
telecom_**3;0.0
unsecured_loan_**3;-0.0
Versandhandel_req_**3;0.020072126904505865
finance_year_**3;0.02409208058325746
credit_days_**3;-0.0
credit_card_days_**3;-0.0
giro_days_**3;-0.0
age_log2;0.4356943771674515
relocation_log2;-0.0039277205630174295
request_log2;-0.0
banking_connection_log2;-0.0
business_relation_log2;-0.018466382940660244
conditions_log2;-0.0
credit_card_log2;-0.0
giro_log2;0.0
global_credit_log2;-0.045090712874444425
identity_log2;0.0
secured_loan_log2;0.11878755189214552
solvency_log2;-0.016051793490745793
telecom_log2;-0.08641057663684792
unsecured_loan_log2;0.0
Versandhandel_req_log2;0.037234360605922175
finance_year_log2;-0.08321534171003625
credit_days_log2;0.0
credit_card_days_log2;0.26651306758433707
giro_days_log2;0.0
age*relocation;-0.0
age*request;-0.05073285995903469
age*banking_connection;-0.0
age*business_relation;-0.0
age*conditions;-0.0
age*credit_card;-0.16245273853902795
age*giro;-0.009413505554225786
age*global_credit;-0.0
age*identity;-0.0
age*secured_loan;0.0
age*solvency;-0.0
age*telecom;-0.0
age*unsecured_loan;-0.0
age*Versandhandel_req;0.0
age*finance_year;-0.0
age*credit_days;-0.0
age*credit_card_days;0.0
age*giro_days;-0.0
relocation*request;-0.008341429408817415
relocation*banking_connection;0.0
relocation*business_relation;0.019093372976093613
relocation*conditions;0.0
relocation*credit_card;-0.0
relocation*giro;0.0
relocation*global_credit;-0.0
relocation*identity;-0.010542605490830054
relocation*secured_loan;0.0
relocation*solvency;-0.0
relocation*telecom;-0.0
relocation*unsecured_loan;0.0
relocation*Versandhandel_req;0.0
relocation*finance_year;-0.0
relocation*credit_days;-0.0
relocation*credit_card_days;0.0
relocation*giro_days;0.030382401516711982
request*banking_connection;-0.0
request*business_relation;-0.0
request*conditions;0.0
request*credit_card;0.0
request*giro;0.04044799639438924
request*global_credit;-0.0
request*identity;0.0
request*secured_loan;0.0
request*solvency;0.013051591497107582
request*telecom;0.027133232245827137
request*unsecured_loan;0.01785580822794183
request*Versandhandel_req;0.0
request*finance_year;0.02071064460282115
request*credit_days;0.01727567297641388
request*credit_card_days;0.0332028634179707
request*giro_days;0.0
banking_connection*business_relation;0.0
banking_connection*conditions;0.0
banking_connection*credit_card;-0.0
banking_connection*giro;-0.0
banking_connection*global_credit;-0.0
banking_connection*identity;-0.0
banking_connection*secured_loan;0.011593435057376793
banking_connection*solvency;0.0
banking_connection*telecom;-0.006367461997516569
banking_connection*unsecured_loan;0.002707560553042741
banking_connection*Versandhandel_req;0.0
banking_connection*finance_year;-0.0
banking_connection*credit_days;-0.0
banking_connection*credit_card_days;-0.0
banking_connection*giro_days;-0.015589291411282815
business_relation*conditions;-0.0
business_relation*credit_card;-0.0
business_relation*giro;-0.0
business_relation*global_credit;-0.0
business_relation*identity;-0.0
business_relation*secured_loan;0.0
business_relation*solvency;-0.0
business_relation*telecom;-0.029611426752775474
business_relation*unsecured_loan;-0.0
business_relation*Versandhandel_req;-0.00972519419536112
business_relation*finance_year;0.0019139396666782802
business_relation*credit_days;0.0
business_relation*credit_card_days;0.0
business_relation*giro_days;-0.0
conditions*credit_card;-0.042427608302822876
conditions*giro;-0.0
conditions*global_credit;0.008002094775783695
conditions*identity;-0.022155849054749453
conditions*secured_loan;0.0
conditions*solvency;-0.0
conditions*telecom;0.0
conditions*unsecured_loan;-0.0
conditions*Versandhandel_req;-0.0
conditions*finance_year;0.0008238110937681423
conditions*credit_days;0.0
conditions*credit_card_days;-0.0
conditions*giro_days;-0.0
credit_card*giro;-0.03676323165164953
credit_card*global_credit;-0.0
credit_card*identity;-0.0
credit_card*secured_loan;0.0
credit_card*solvency;-0.0
credit_card*telecom;0.0
credit_card*unsecured_loan;-0.014603355305247983
credit_card*Versandhandel_req;0.0
credit_card*finance_year;-0.0
credit_card*credit_days;-0.0
credit_card*credit_card_days;-0.0
credit_card*giro_days;-0.03934087805291256
giro*global_credit;-0.0
giro*identity;-0.016001975957330515
giro*secured_loan;-0.0
giro*solvency;-0.0
giro*telecom;-0.025732565822710975
giro*unsecured_loan;-0.05317491028110427
giro*Versandhandel_req;0.0
giro*finance_year;-0.0
giro*credit_days;-0.01736792542879594
giro*credit_card_days;-0.010381829351140962
giro*giro_days;-0.0
global_credit*identity;-0.02654261606542248
global_credit*secured_loan;0.0
global_credit*solvency;-0.009277102149827307
global_credit*telecom;0.0014560078650067484
global_credit*unsecured_loan;-0.0
