;weight
female;0.0
east;-0.0069817516702476105
mailOrder;0.0
monthlyIncome;0.015073317530168122
age;0.0
relocation;-0.0832773280368249
request;-0.1309170523278542
banking_connection;-0.009196044818647092
business_relation;-0.0
conditions;-0.0
credit_card;-0.2523802314973533
giro;-0.0
global_credit;-0.0
identity;-0.0
secured_loan;0.0
solvency;-0.22237190774126925
telecom;-0.1389349495352047
unsecured_loan;-0.044596003425695634
Versandhandel_req;0.0
finance_year;-0.0
credit_days;-0.0
credit_card_days;0.12412109371480752
giro_days;0.11545836634079935
age_**2;-0.0
relocation_**2;-0.0
request_**2;-0.019608671521581134
banking_connection_**2;-0.0
business_relation_**2;0.0
conditions_**2;-0.0
credit_card_**2;-0.0
giro_**2;-0.04649991820494363
global_credit_**2;-0.0
identity_**2;-0.01823598852554557
secured_loan_**2;-0.0
solvency_**2;-0.0
telecom_**2;-0.0
unsecured_loan_**2;-0.0
Versandhandel_req_**2;0.0
finance_year_**2;0.0
credit_days_**2;-0.0
credit_card_days_**2;0.0
giro_days_**2;-0.0
age_**3;-0.13914646756719914
relocation_**3;0.0
request_**3;-0.0
banking_connection_**3;-0.0
business_relation_**3;0.004378419964276435
conditions_**3;-0.0
credit_card_**3;0.0
giro_**3;-0.0
global_credit_**3;0.0
identity_**3;-0.0
secured_loan_**3;-0.009553092794058495
solvency_**3;-0.0
telecom_**3;0.009206882663730678
unsecured_loan_**3;-0.0
Versandhandel_req_**3;0.029162387541533913
finance_year_**3;0.02394131874322606
credit_days_**3;-0.017315527744699976
credit_card_days_**3;-0.0
giro_days_**3;-0.023202622446440346
age_log2;0.47030956483580233
relocation_log2;-0.013766500526652792
request_log2;-0.0
banking_connection_log2;-0.0
business_relation_log2;-0.029032037822908707
conditions_log2;-0.014116137327997848
credit_card_log2;-0.0
giro_log2;-0.0
global_credit_log2;-0.07642999056721735
identity_log2;-0.0
secured_loan_log2;0.14294169739391874
solvency_log2;-0.004824291918457028
telecom_log2;-0.06588563992244022
unsecured_loan_log2;-0.0
Versandhandel_req_log2;0.06474130956006104
finance_year_log2;-0.07959380720982127
credit_days_log2;-0.0
credit_card_days_log2;0.33542457988511065
giro_days_log2;0.019123403398723416
