;age;score
score;0.4631265046912649;1.0
mailOrder;-0.06422551414443191;-0.12297428522459643
monthlyIncome;0.4435307914133119;0.2822083772916832
age;1.0;0.4631265046912649
relocation;-0.390056066113196;-0.26517531264615835
request;0.06160623754020258;-0.1217092892893916
banking_connection;0.0008769107579613393;-0.022188015994531636
business_relation;-0.02193545348916041;-0.11795583228003163
conditions;0.014006245335031276;-0.12083674277902164
credit_card;0.08157881782928934;0.20149400627071465
giro;-0.07456878370355342;-0.026052833487521555
global_credit;0.11543628919848867;0.02152886318729462
identity;-0.11311455081509268;-0.13723549453079043
secured_loan;0.2218862267713328;0.13990227291490498
solvency;-0.14820787843785424;-0.3969481425387845
telecom;0.0065933870822899926;-0.028323332913076156
unsecured_loan;0.09310206367239696;-0.02995175545043173
Versandhandel_req;-0.008924939545312295;-0.1810355279680059
finance_year;-0.08611071616086309;-0.26946481905384856
credit_days;0.3014238926541873;0.11500197741450216
credit_card_days;0.2528304635347347;0.39290220041431767
giro_days;0.17141575944777943;0.22108482523925901
